site good_until good_after order_id xdomainmin xdomainmax
ogg "3000-01-01 00:00:00" 1000-01-01 00:00:00 1 25 1550
ogg "3000-01-01 00:00:00" 1000-01-01 00:00:00 2 500 1835
coj "2024-12-01 00:00:00" "1000-01-01 00:00:00" 1 55 1600
coj "2024-12-01 00:00:00" "1000-01-01 00:00:00" 2 615 1920
coj "2025-01-15 00:00:00" "2024-12-01 00:00:00" 1 115 1770
coj "2025-01-15 00:00:00" "2024-12-01 00:00:00" 2 620 1920
coj "2025-07-01 00:00:00" "2025-01-15 00:00:00" 2 595 1950
coj "2025-07-01 00:00:00" "2025-01-15 00:00:00" 1 50 1650
coj "2025-12-04 00:00:00" "2025-07-01 00:00:00" 2 625 1910
coj "3000-01-01 00:00:00" "2025-07-01 00:00:00" 1 0 1550
coj "3000-01-01 00:00:00" "2025-12-04 00:00:00" 2 530 2000
